visa_type,continent,age,education_level,occupation_category,income_level_usd,has_strong_home_ties,prior_visa_violations,prior_us_travel,documentation_quality,social_media_flag,criminal_background,admin_processing_delay,country_of_origin,approval_status,gender,marital_status,number_of_dependents
F-1,Europe,12,High School,Professor,73378.64768993626,No,No,Never,High,Clean,No,No,Russia,1,Other,Divorced,2
O-1,South America,15,High School,Scientist,17203.75887696485,No,No,Multiple,Medium,Clean,No,No,Brazil,0,Male,Married,0
B-2,South America,16,Bachelor,Student,27368.26936898547,No,No,Multiple,Medium,Clean,No,No,Colombia,1,Female,Married,0
B-1,North America,61,Master,Scientist,34079.46828512725,Yes,No,Never,High,Clean,No,No,Mexico,1,Male,Single,2
F-1,South America,21,PhD,Businessperson,66967.1111334213,Yes,No,Once,High,Clean,No,No,Brazil,1,Female,Married,1
B-2,South America,40,Bachelor,Businessperson,76886.59713924059,Yes,No,Never,Medium,Clean,No,No,Argentina,1,Female,Married,2
O-1,Asia,23,Master,Athlete,42325.79523431591,Yes,No,Never,Low,Clean,No,No,India,1,Male,Married,1
J-1,Asia,34,Master,Technician,6573.091333293814,Yes,No,Once,Low,Clean,No,No,Philippines,1,Female,Married,0
TN,South America,48,Bachelor,Scientist,6861.288801130999,Yes,No,Multiple,High,Clean,No,No,Brazil,1,Female,Married,1
TN,Europe,66,Bachelor,Scientist,45296.22590710274,Yes,Yes,Never,Low,Clean,No,No,Germany,1,Male,Married,1
B-2,South America,35,High School,Student,28580.340753134707,Yes,No,Never,High,Negative Content,No,No,Colombia,1,Male,Single,1
F-1,Africa,51,Master,Professor,53804.90455127305,Yes,No,Never,Medium,Clean,No,No,South Africa,1,Other,Single,0
TN,Europe,10,Master,Student,1877.9317420254702,No,No,Never,High,Clean,No,No,France,1,Female,Married,0
TN,Africa,77,High School,Scientist,36264.36544676947,Yes,No,Once,High,Clean,No,No,Kenya,1,Female,Married,0
J-1,Africa,54,High School,Student,58657.044240320494,Yes,No,Multiple,High,Clean,No,No,Ghana,1,Other,Divorced,0
O-1,North America,65,Bachelor,Businessperson,0.0,Yes,No,Never,High,Clean,No,No,Guatemala,1,Female,Widowed,2
L-1,Asia,52,PhD,Professor,42638.96393950607,No,No,Never,High,Clean,No,Yes,China,1,Other,Married,2
TN,North America,27,Master,Businessperson,0.0,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Single,3
B-2,Africa,77,Master,Scientist,25936.666041377128,Yes,No,Never,High,Clean,No,No,Nigeria,1,Female,Married,1
B-1,North America,35,Bachelor,Businessperson,47840.15489777144,No,No,Once,Low,Clean,No,No,Mexico,1,Female,Widowed,0
O-1,North America,37,Master,Technician,20064.016995856615,Yes,No,Once,High,Clean,No,No,Mexico,1,Female,Single,1
J-1,Europe,40,High School,Technician,27255.955122443866,Yes,Yes,Once,Low,Clean,No,No,France,0,Female,Married,1
O-1,North America,44,Bachelor,Technician,22559.626168957548,Yes,No,Once,Low,Clean,No,No,Mexico,1,Female,Single,1
J-1,Europe,17,Bachelor,Scientist,38761.06141445157,Yes,No,Never,Medium,Clean,No,No,UK,1,Other,Single,3
O-1,North America,53,None,Scientist,26158.639186913166,Yes,No,Never,High,Clean,No,No,Mexico,1,Female,Married,1
L-1,North America,41,None,Scientist,14104.47062238597,No,No,Never,High,Clean,No,No,Canada,1,Male,Divorced,1
B-2,Africa,43,Bachelor,Professor,23037.195135957278,Yes,No,Multiple,Medium,Clean,No,No,Kenya,1,Male,Married,0
B-1,Africa,35,Master,Scientist,28789.845895661078,No,No,Never,Medium,Clean,No,No,Kenya,1,Male,Single,3
TN,South America,24,High School,Athlete,45478.943959096876,Yes,No,Multiple,Medium,Clean,No,No,Argentina,1,Male,Married,1
L-1,South America,39,High School,Technician,45926.28736380521,Yes,No,Once,Medium,Clean,No,No,Argentina,1,Female,Married,1
B-2,Europe,24,Bachelor,Businessperson,64833.50179740839,Yes,No,Never,High,Clean,No,No,UK,1,Female,Single,0
B-1,Africa,20,Bachelor,Professor,55198.128009793545,No,No,Never,Medium,Clean,No,No,Kenya,1,Male,Single,1
O-1,South America,77,Bachelor,Technician,50434.87402579002,No,No,Never,High,Clean,No,No,Brazil,1,Male,Single,2
TN,North America,28,High School,Student,15573.28509477214,Yes,No,Multiple,High,Negative Content,No,No,Canada,1,Female,Married,0
B-1,Africa,41,High School,Athlete,42460.993272811764,Yes,No,Never,High,Negative Content,No,Yes,Kenya,1,Male,Married,0
F-1,North America,72,Bachelor,Student,57540.125639373524,Yes,No,Never,High,Clean,No,No,Guatemala,1,Male,Single,0
B-1,North America,10,Bachelor,Scientist,23608.041487676277,Yes,No,Multiple,Medium,Clean,No,Yes,Guatemala,1,Male,Single,0
B-2,Europe,14,Bachelor,Student,28649.782549293206,Yes,No,Never,High,Clean,No,No,Germany,1,Female,Single,1
L-1,Africa,77,Master,Professor,41905.2970269539,Yes,No,Multiple,Medium,Clean,No,No,Ghana,1,Male,Married,3
TN,North America,16,Bachelor,Professor,76283.06689146606,No,No,Never,Medium,Clean,No,No,Guatemala,1,Male,Married,0
L-1,Europe,60,Master,Scientist,61090.274888565684,Yes,No,Never,High,Clean,No,No,France,1,Male,Single,4
TN,Asia,23,Bachelor,Technician,13384.320189168098,Yes,No,Never,High,Clean,Yes,No,Pakistan,1,Female,Married,1
F-1,Asia,69,Master,Scientist,36101.8095114495,No,No,Never,High,Clean,No,No,China,1,Female,Single,2
B-2,North America,5,Bachelor,Athlete,48131.287226691886,Yes,No,Never,Medium,Clean,No,No,Canada,1,Male,Married,0
B-1,North America,5,Bachelor,Student,23739.768970641955,No,No,Never,Medium,Clean,No,No,Canada,1,Male,Single,3
F-1,Asia,24,High School,Professor,17002.65043398411,Yes,No,Once,Medium,Clean,No,No,India,1,Female,Married,2
O-1,South America,19,Bachelor,Technician,36417.030328322406,Yes,No,Once,Low,Clean,No,No,Colombia,1,Female,Married,2
J-1,Europe,18,High School,Scientist,30103.621946630105,No,No,Never,High,Clean,No,No,France,1,Female,Single,1
O-1,North America,34,High School,Student,0.0,Yes,No,Once,High,Clean,No,No,Mexico,1,Female,Single,0
B-2,Asia,36,High School,Technician,40394.97034433309,Yes,No,Never,Medium,Clean,No,No,Pakistan,1,Male,Single,3
F-1,Asia,50,Bachelor,Scientist,57874.47998951601,No,No,Never,Low,Clean,No,No,India,1,Female,Single,1
L-1,Asia,11,Master,Technician,4697.386692990389,Yes,No,Multiple,High,Clean,No,No,Pakistan,1,Female,Married,2
F-1,Asia,78,High School,Student,37531.609809573725,No,No,Never,Medium,Clean,No,No,Pakistan,0,Male,Single,0
J-1,Asia,28,High School,Scientist,48056.16167927862,Yes,No,Once,Medium,Clean,Yes,No,China,0,Female,Single,0
B-2,Asia,44,Master,Professor,37554.24682038731,Yes,No,Once,High,Clean,No,No,India,1,Male,Single,1
F-1,North America,28,Bachelor,Student,27757.71518937991,Yes,No,Never,High,Clean,No,No,Mexico,1,Male,Single,1
TN,Europe,52,Master,Businessperson,26510.327053141627,Yes,No,Never,High,Clean,No,No,France,1,Male,Divorced,2
O-1,Asia,29,High School,Athlete,27738.429667953005,Yes,No,Once,High,Clean,No,No,India,1,Male,Married,1
B-1,Asia,44,Bachelor,Scientist,31856.489985247936,Yes,No,Once,Medium,Clean,No,No,India,1,Female,Single,1
O-1,Asia,41,PhD,Businessperson,10716.248075193296,Yes,No,Never,Low,Clean,No,No,China,1,Female,Married,0
B-2,Asia,42,High School,Scientist,36353.149194961385,Yes,No,Multiple,High,Clean,No,No,Pakistan,1,Male,Single,2
F-1,Asia,14,High School,Businessperson,17483.749307124395,Yes,No,Once,Medium,Clean,No,No,India,1,Female,Single,2
O-1,Africa,30,Bachelor,Professor,4875.501160061191,Yes,No,Multiple,High,Clean,No,No,Nigeria,1,Female,Married,1
F-1,Africa,33,Master,Technician,41707.735297692925,Yes,No,Never,High,Clean,No,No,Ghana,1,Other,Single,2
O-1,Asia,16,Bachelor,Technician,14030.723648892139,Yes,No,Once,Medium,Clean,No,No,China,1,Male,Single,0
B-2,Asia,1,High School,Technician,44332.435157933636,Yes,No,Never,High,Clean,No,Yes,Philippines,1,Female,Married,2
L-1,South America,75,Bachelor,Athlete,31395.929668419623,Yes,No,Once,High,Clean,No,No,Brazil,1,Male,Married,0
O-1,South America,44,High School,Athlete,36416.4963885303,Yes,No,Multiple,Medium,Clean,No,No,Brazil,1,Male,Single,2
B-1,Europe,58,Master,Professor,21040.395686335265,Yes,No,Once,High,Clean,No,No,Russia,1,Female,Married,1
O-1,Africa,37,High School,Student,0.0,Yes,No,Multiple,High,Clean,No,No,Nigeria,1,Female,Single,1
B-2,North America,55,Master,Scientist,29294.60031477921,Yes,No,Once,Medium,Clean,No,No,Canada,1,Female,Married,0
O-1,Europe,13,Bachelor,Scientist,46673.6021612998,Yes,No,Multiple,High,Clean,No,No,UK,1,Female,Single,1
B-1,Europe,31,Bachelor,Scientist,18220.066115006106,Yes,No,Once,High,Clean,No,Yes,Russia,1,Male,Married,2
TN,Asia,8,Master,Professor,17927.990955556248,Yes,No,Once,Medium,Clean,Yes,No,Philippines,1,Female,Single,1
B-1,Asia,0,PhD,Student,31425.361857467455,Yes,No,Once,High,Clean,No,No,India,1,Male,Single,0
B-2,North America,23,Master,Student,22552.763346923046,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Male,Married,1
F-1,South America,21,Bachelor,Scientist,29966.539857315223,Yes,No,Multiple,Medium,Negative Content,No,No,Colombia,1,Female,Single,1
O-1,Asia,78,Master,Student,7901.646811333681,Yes,No,Never,High,Clean,No,No,Pakistan,1,Female,Married,1
L-1,Africa,3,Master,Professor,42539.49642427938,No,Yes,Once,High,Clean,No,No,South Africa,1,Female,Married,1
B-1,North America,24,Bachelor,Student,27914.588885416884,Yes,No,Never,Medium,Clean,No,No,Canada,1,Female,Single,3
TN,North America,36,Bachelor,Student,59438.57499402424,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Female,Married,1
B-1,Asia,7,Bachelor,Technician,55246.01086936105,Yes,No,Never,Medium,Clean,No,No,China,1,Male,Married,0
O-1,North America,53,Master,Scientist,35984.79691711421,Yes,No,Never,High,Clean,No,No,Guatemala,1,Male,Married,0
F-1,South America,21,High School,Student,19726.169088357026,Yes,No,Never,High,Clean,No,No,Brazil,1,Female,Divorced,3
O-1,Asia,66,Bachelor,Professor,11968.638335412652,Yes,No,Once,High,Clean,No,No,India,1,Male,Single,1
TN,South America,41,High School,Scientist,53797.44438350554,Yes,No,Multiple,High,Clean,No,No,Brazil,1,Female,Single,1
TN,South America,56,Bachelor,Businessperson,58067.857353382235,Yes,No,Multiple,High,Clean,No,No,Brazil,1,Female,Single,1
B-2,Africa,7,High School,Athlete,40487.28405016106,No,No,Once,Medium,Clean,Yes,No,Nigeria,0,Female,Single,2
L-1,Asia,7,Bachelor,Technician,0.0,Yes,No,Once,High,Clean,No,No,India,1,Male,Single,0
O-1,Africa,23,Master,Scientist,23552.897140717105,No,No,Never,Low,Clean,No,No,Nigeria,1,Male,Single,1
B-1,Africa,62,None,Businessperson,46176.463971744786,Yes,No,Never,High,Clean,No,No,Nigeria,1,Female,Married,0
B-1,North America,77,Master,Technician,25408.057350675852,Yes,No,Once,High,Clean,No,No,Guatemala,1,Female,Single,2
B-2,Europe,69,High School,Technician,0.0,Yes,No,Once,Medium,Clean,No,No,Russia,1,Female,Single,3
F-1,Asia,20,High School,Technician,31433.164003483034,No,No,Never,High,Clean,No,No,China,1,Male,Married,0
O-1,South America,49,Bachelor,Technician,24828.194582459826,Yes,No,Multiple,High,Clean,No,No,Argentina,1,Female,Single,2
J-1,North America,61,High School,Professor,32583.301758781126,Yes,No,Multiple,Medium,Clean,No,Yes,Mexico,1,Male,Married,2
F-1,Africa,64,Master,Scientist,65033.5422187703,Yes,No,Once,High,Clean,No,No,Nigeria,1,Female,Single,0
B-1,Africa,74,PhD,Professor,59079.702654205146,Yes,No,Multiple,High,Clean,No,No,South Africa,1,Male,Single,2
TN,Asia,29,High School,Athlete,37637.95756628977,Yes,No,Once,Medium,Clean,No,No,Philippines,1,Male,Married,1
O-1,North America,9,Bachelor,Scientist,14750.87132741712,Yes,No,Never,Medium,Clean,No,No,Canada,1,Male,Single,1
TN,South America,74,Bachelor,Businessperson,19304.771987553548,Yes,No,Multiple,Low,Clean,No,No,Brazil,1,Male,Single,2
B-1,Africa,7,Bachelor,Businessperson,36351.22908687029,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Married,0
L-1,North America,4,Bachelor,Student,50304.545858715035,Yes,No,Never,High,Clean,No,No,Mexico,1,Female,Married,1
F-1,South America,44,Bachelor,Student,3299.0536089806883,Yes,No,Never,Low,Clean,No,No,Colombia,1,Female,Married,5
J-1,North America,58,Bachelor,Athlete,49464.06951206519,Yes,No,Never,High,Clean,No,No,Canada,1,Female,Single,1
L-1,Africa,64,High School,Technician,37139.66291989279,Yes,Yes,Once,Medium,Clean,No,No,Ghana,0,Male,Married,1
J-1,Africa,16,Bachelor,Technician,37009.15322120113,Yes,Yes,Once,Medium,Clean,No,Yes,Kenya,1,Female,Single,3
L-1,South America,19,Master,Athlete,59780.90144493127,Yes,No,Never,Medium,Clean,No,No,Argentina,1,Male,Single,2
F-1,North America,42,Bachelor,Technician,36536.5854253257,Yes,No,Never,High,Clean,No,No,Canada,1,Female,Single,2
B-1,Africa,31,PhD,Athlete,11484.51970525593,Yes,No,Never,Medium,Clean,No,No,South Africa,1,Male,Single,0
J-1,North America,50,Bachelor,Technician,45901.311577461136,Yes,No,Once,High,Negative Content,No,No,Guatemala,1,Male,Single,2
F-1,Asia,17,Master,Professor,31455.91329291691,Yes,No,Multiple,Medium,Clean,No,No,Pakistan,1,Female,Divorced,1
J-1,South America,20,Master,Student,58771.35930626197,Yes,No,Never,High,Clean,No,No,Argentina,1,Male,Married,1
F-1,Europe,52,Bachelor,Scientist,16194.641951582978,Yes,No,Multiple,Medium,Clean,No,Yes,Germany,1,Male,Single,0
L-1,South America,80,Bachelor,Technician,27564.769738154075,Yes,No,Never,Medium,Clean,No,No,Colombia,1,Male,Single,0
F-1,Africa,75,PhD,Student,49528.59747730679,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Single,4
L-1,North America,67,Bachelor,Technician,43150.673396083715,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Female,Married,2
B-1,South America,78,Bachelor,Athlete,20329.908439816445,Yes,No,Never,Medium,Clean,No,No,Colombia,1,Male,Single,1
L-1,Europe,78,Master,Athlete,0.0,Yes,No,Multiple,High,Clean,No,Yes,France,1,Female,Single,4
B-2,Asia,53,Master,Scientist,17038.517006920803,Yes,No,Once,High,Clean,No,No,Philippines,1,Male,Single,0
B-1,Africa,5,Master,Student,26009.21055474739,No,No,Once,High,Clean,No,No,Nigeria,1,Male,Widowed,1
TN,North America,68,Master,Professor,37275.09751335547,Yes,No,Never,High,Clean,No,No,Canada,1,Female,Married,3
TN,Asia,1,Bachelor,Technician,0.0,No,No,Never,Medium,Clean,No,No,Pakistan,1,Female,Single,1
TN,Africa,1,Bachelor,Scientist,1894.941027261084,Yes,No,Never,Medium,Clean,No,No,South Africa,1,Male,Married,0
O-1,South America,80,Master,Scientist,54396.91828548284,Yes,No,Never,Medium,Clean,No,No,Colombia,1,Female,Divorced,2
O-1,South America,38,Bachelor,Professor,33394.81493799574,Yes,No,Once,High,Clean,No,No,Brazil,1,Male,Married,3
F-1,Europe,76,High School,Student,56431.405292645824,No,No,Never,Low,Clean,No,No,France,0,Male,Single,0
F-1,Asia,54,Bachelor,Businessperson,39611.57518313404,Yes,No,Once,High,Clean,No,No,India,1,Female,Single,1
B-2,South America,26,Bachelor,Student,26850.508244914417,No,No,Never,Medium,Clean,No,No,Colombia,1,Male,Single,2
F-1,Europe,27,PhD,Scientist,56952.189235992075,Yes,No,Once,Medium,Clean,No,No,UK,1,Male,Single,0
B-1,North America,5,Master,Athlete,21625.286401336925,Yes,No,Never,High,Clean,No,No,Canada,1,Female,Single,5
B-1,North America,61,High School,Scientist,22362.083338582906,No,No,Never,Medium,Clean,No,No,Canada,0,Female,Married,1
TN,Asia,7,High School,Scientist,38528.2752029398,Yes,No,Once,High,Clean,No,No,India,1,Female,Divorced,1
L-1,North America,55,Master,Student,0.0,Yes,No,Never,Medium,Negative Content,No,No,Canada,1,Male,Single,0
J-1,South America,22,Master,Athlete,26582.02528851767,No,No,Multiple,High,Clean,No,No,Colombia,1,Male,Divorced,1
F-1,North America,50,Bachelor,Student,30540.333879079335,No,No,Once,High,Clean,No,No,Canada,1,Female,Married,0
B-2,South America,14,Bachelor,Technician,55105.63207309293,Yes,No,Never,Medium,Clean,No,No,Brazil,1,Female,Widowed,1
TN,Europe,66,High School,Professor,4168.120059269444,Yes,No,Never,High,Clean,No,No,Germany,1,Male,Married,1
O-1,South America,36,Bachelor,Businessperson,43930.08319343465,Yes,No,Multiple,Medium,Clean,No,No,Argentina,1,Male,Single,1
B-1,South America,0,Bachelor,Student,29385.83316171775,No,No,Once,High,Clean,No,Yes,Argentina,1,Female,Divorced,2
B-1,Asia,40,Bachelor,Athlete,8751.722979396298,Yes,Yes,Never,Medium,Clean,No,No,Pakistan,1,Female,Married,2
B-1,North America,16,Bachelor,Businessperson,48517.764785745705,Yes,No,Never,High,Clean,No,No,Canada,1,Female,Single,2
J-1,South America,5,None,Technician,16279.089759069147,Yes,No,Once,Medium,Clean,No,No,Argentina,1,Male,Married,3
J-1,Asia,49,Master,Athlete,50754.0792961106,Yes,No,Never,Low,Clean,No,No,India,1,Male,Married,0
F-1,Asia,76,Bachelor,Student,0.0,No,No,Never,High,Clean,No,No,China,1,Male,Married,2
O-1,Asia,68,High School,Athlete,18150.13808933698,No,No,Multiple,High,Clean,No,No,India,1,Male,Married,0
B-2,Africa,2,Bachelor,Scientist,39514.23534254288,Yes,No,Never,Medium,Clean,No,No,Ghana,1,Male,Single,1
J-1,Asia,69,Master,Student,37851.34524327261,Yes,No,Multiple,Medium,Negative Content,No,No,China,1,Female,Single,3
L-1,Asia,25,Bachelor,Professor,27088.12465233514,Yes,No,Once,High,Clean,No,No,Philippines,1,Female,Single,1
J-1,South America,79,High School,Professor,64691.67846893752,Yes,No,Never,Medium,Clean,No,Yes,Argentina,0,Female,Single,0
B-1,Asia,78,Bachelor,Businessperson,39684.90404319151,Yes,Yes,Never,Medium,Clean,No,No,China,0,Female,Single,1
B-2,Asia,70,Bachelor,Professor,0.0,Yes,No,Multiple,High,Clean,No,No,China,1,Male,Single,3
F-1,Africa,30,Bachelor,Athlete,46622.92146807337,Yes,Yes,Once,Medium,Negative Content,No,No,Ghana,0,Male,Single,2
J-1,Africa,59,Bachelor,Professor,36064.60946034577,Yes,No,Once,High,Clean,No,No,Ghana,1,Female,Married,1
B-1,Asia,50,None,Businessperson,48817.53300200906,Yes,No,Multiple,High,Clean,No,No,Pakistan,1,Male,Single,0
TN,Asia,19,PhD,Technician,9145.978120025706,Yes,No,Multiple,High,Clean,No,No,Pakistan,1,Female,Married,0
L-1,South America,37,Bachelor,Scientist,29747.751227957408,Yes,No,Never,Medium,Negative Content,No,No,Colombia,1,Male,Single,2
L-1,South America,55,Bachelor,Scientist,41761.752334117824,Yes,No,Never,High,Clean,No,No,Argentina,1,Male,Married,1
TN,Africa,50,High School,Athlete,1670.9776243199703,Yes,No,Multiple,Low,Negative Content,No,No,Ghana,0,Female,Single,0
F-1,South America,38,Bachelor,Athlete,45453.521842321046,Yes,No,Never,High,Clean,No,No,Argentina,1,Female,Divorced,0
F-1,North America,16,Master,Technician,30897.428769905593,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Other,Single,0
J-1,Europe,24,High School,Professor,0.0,Yes,No,Multiple,Medium,Clean,No,No,Russia,1,Other,Married,2
F-1,Africa,10,Master,Technician,64129.89438302911,Yes,No,Once,Medium,Clean,No,No,Ghana,1,Male,Married,2
O-1,Africa,56,High School,Technician,25069.21017293226,Yes,No,Never,High,Clean,No,No,Kenya,1,Female,Divorced,0
O-1,South America,30,PhD,Technician,72684.53587759151,Yes,No,Never,Medium,Clean,No,No,Argentina,1,Male,Married,1
B-1,Europe,47,Bachelor,Athlete,46019.83258892549,Yes,No,Never,High,Clean,No,No,France,1,Female,Married,3
B-1,Europe,68,Bachelor,Scientist,25951.75492415363,Yes,No,Once,Medium,Clean,No,No,Germany,1,Male,Single,4
B-1,Asia,24,Master,Student,30431.393220563998,Yes,No,Once,High,Clean,No,No,Philippines,1,Female,Married,1
O-1,Africa,75,Bachelor,Professor,0.0,No,No,Never,Medium,Clean,No,No,South Africa,0,Female,Married,0
J-1,Asia,22,Bachelor,Scientist,36644.796037343134,Yes,No,Never,High,Clean,No,No,China,1,Male,Married,1
J-1,South America,51,Bachelor,Scientist,48927.62197836904,Yes,No,Never,High,Clean,No,No,Argentina,1,Female,Divorced,2
F-1,Europe,25,High School,Professor,21469.862838323825,Yes,No,Once,High,Clean,No,No,Germany,1,Male,Single,2
J-1,Asia,73,Bachelor,Businessperson,10928.014279802217,Yes,No,Once,Medium,Clean,No,No,India,1,Female,Married,1
B-1,Europe,33,Master,Technician,43672.8406256045,No,No,Never,High,Clean,No,No,Russia,1,Female,Married,1
B-2,Asia,10,Bachelor,Athlete,29151.775313972754,Yes,No,Never,Medium,Clean,Yes,No,India,1,Male,Single,0
B-1,Asia,22,Master,Businessperson,88302.62809728627,Yes,No,Once,Medium,Clean,No,No,Pakistan,1,Male,Married,0
O-1,Europe,80,None,Athlete,58284.91868210949,Yes,No,Never,High,Clean,No,No,UK,1,Female,Single,1
TN,South America,28,Bachelor,Scientist,8694.863853482144,Yes,No,Multiple,High,Clean,No,No,Argentina,1,Male,Married,2
B-2,North America,76,Master,Professor,45008.373165199744,Yes,No,Never,High,Clean,No,No,Mexico,1,Male,Married,4
F-1,North America,63,High School,Professor,23266.178234981864,Yes,No,Never,Low,Clean,No,No,Mexico,1,Female,Single,3
L-1,Africa,40,PhD,Professor,26545.561809739163,Yes,No,Once,High,Clean,No,No,Nigeria,1,Female,Married,1
TN,North America,70,PhD,Businessperson,21804.720374721688,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Married,0
J-1,Europe,62,Bachelor,Professor,32085.089864104586,Yes,No,Never,Medium,Clean,No,No,Germany,1,Male,Married,1
J-1,Africa,52,Master,Professor,13706.321563304591,Yes,No,Never,Medium,Clean,No,No,Kenya,1,Male,Single,1
O-1,North America,5,Master,Student,38955.412670745456,Yes,No,Never,Medium,Clean,No,No,Guatemala,1,Male,Single,0
B-1,North America,52,Bachelor,Businessperson,14390.066240242679,Yes,No,Never,Medium,Clean,No,No,Mexico,1,Male,Married,2
B-1,Asia,30,Bachelor,Professor,32332.688333052214,Yes,Yes,Once,Medium,Clean,No,No,China,1,Male,Single,0
B-2,Asia,40,High School,Athlete,33595.46305164008,Yes,No,Once,High,Clean,No,No,Pakistan,1,Female,Single,2
J-1,North America,30,Master,Athlete,52936.09847115532,Yes,No,Never,High,Clean,Yes,No,Mexico,1,Male,Single,3
TN,Africa,58,Bachelor,Scientist,38579.017005161375,Yes,No,Once,High,Clean,No,Yes,Nigeria,1,Female,Single,1
O-1,Europe,57,High School,Student,39803.636494817394,No,No,Never,Low,Negative Content,No,No,Germany,0,Male,Married,1
TN,North America,10,Bachelor,Technician,8052.572950065536,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Female,Married,4
F-1,Europe,71,Bachelor,Student,47103.865489812495,Yes,No,Never,High,Clean,No,No,Russia,1,Female,Married,1
B-1,Africa,12,High School,Businessperson,27368.3497367487,Yes,No,Once,High,Clean,No,No,Kenya,1,Female,Single,2
TN,South America,70,Bachelor,Athlete,11250.696976788058,Yes,No,Once,Medium,Negative Content,No,Yes,Brazil,0,Male,Divorced,1
J-1,Africa,52,PhD,Technician,37719.80802612327,Yes,No,Once,Medium,Clean,No,No,Ghana,1,Male,Married,3
L-1,South America,55,High School,Athlete,12460.723813544893,Yes,No,Never,Low,Clean,No,No,Brazil,1,Female,Single,2
O-1,Asia,34,Master,Technician,32134.1220221468,Yes,No,Never,High,Clean,No,No,India,1,Female,Married,2
B-2,Europe,75,PhD,Student,49984.900185838575,No,No,Multiple,High,Clean,No,No,Germany,1,Female,Single,0
B-1,Asia,25,High School,Athlete,742.8324281231507,Yes,Yes,Once,High,Clean,No,No,Pakistan,1,Female,Single,1
B-1,Europe,80,PhD,Athlete,6783.147611852997,Yes,No,Never,High,Clean,No,No,Russia,1,Other,Single,0
F-1,Africa,17,Bachelor,Athlete,38684.24985618598,Yes,No,Multiple,Medium,Clean,No,Yes,Ghana,1,Female,Single,0
B-1,North America,45,Master,Technician,21443.467451558405,Yes,No,Never,High,Clean,Yes,No,Canada,1,Male,Widowed,2
O-1,North America,33,Bachelor,Student,42451.44774788689,Yes,No,Once,High,Clean,No,No,Canada,1,Male,Married,0
J-1,South America,17,Bachelor,Scientist,23483.736350565912,No,No,Never,High,Clean,No,No,Brazil,1,Female,Divorced,3
J-1,North America,36,PhD,Technician,40645.91377584109,No,No,Never,Medium,Clean,No,No,Mexico,1,Male,Single,2
J-1,Europe,68,Bachelor,Technician,27324.094988673925,Yes,No,Never,Low,Clean,No,No,Russia,1,Other,Single,0
L-1,North America,24,Bachelor,Athlete,32899.351057520624,No,No,Never,High,Clean,No,No,Guatemala,1,Male,Divorced,1
L-1,Asia,44,PhD,Professor,59743.18315520995,Yes,No,Never,Medium,Clean,No,No,India,1,Other,Single,2
B-1,North America,46,Bachelor,Scientist,26082.9035615677,Yes,No,Once,Medium,Clean,No,No,Mexico,1,Female,Widowed,3
TN,Asia,53,High School,Student,35663.3162558666,Yes,No,Never,Medium,Clean,No,No,India,1,Male,Married,0
L-1,South America,56,High School,Technician,13903.13776997394,Yes,No,Once,High,Clean,No,No,Brazil,1,Male,Single,4
TN,South America,52,None,Businessperson,47684.05484594638,No,No,Never,High,Clean,No,No,Brazil,1,Female,Single,4
TN,Africa,21,None,Technician,25198.79684414389,Yes,No,Once,Medium,Clean,No,No,Kenya,1,Female,Single,1
L-1,Africa,8,Bachelor,Scientist,2264.088089150304,No,No,Never,High,Clean,No,No,Nigeria,1,Female,Single,0
F-1,Africa,31,Bachelor,Scientist,12870.859383970645,Yes,No,Never,High,Clean,No,No,South Africa,1,Male,Married,3
L-1,Asia,51,PhD,Athlete,18714.453405056534,Yes,No,Never,Medium,Clean,No,No,Pakistan,1,Male,Single,1
B-2,Africa,61,Bachelor,Businessperson,44515.14902345462,Yes,No,Once,High,Clean,No,No,Nigeria,1,Male,Single,2
B-2,South America,46,Bachelor,Athlete,4083.9193843796093,Yes,No,Never,Medium,Clean,No,No,Colombia,1,Female,Divorced,0
TN,North America,75,PhD,Professor,20853.02858752927,Yes,No,Once,Low,Clean,No,No,Canada,1,Male,Single,1
B-2,Asia,73,Bachelor,Student,38253.714307535294,No,No,Once,Medium,Clean,No,Yes,India,0,Female,Married,2
B-1,Africa,47,Bachelor,Technician,47917.7915994498,Yes,No,Never,Medium,Clean,No,No,Kenya,1,Female,Married,2
J-1,Africa,51,Master,Athlete,36743.62614467784,No,No,Never,Medium,Clean,No,No,Nigeria,1,Male,Single,0
F-1,South America,54,High School,Scientist,20811.90574326299,Yes,No,Multiple,High,Clean,Yes,No,Colombia,1,Male,Married,0
B-1,North America,67,High School,Scientist,8870.154691158761,Yes,No,Once,Medium,Clean,No,No,Canada,1,Male,Divorced,2
J-1,Europe,75,Master,Professor,32009.564286058077,Yes,No,Multiple,Medium,Clean,No,No,France,1,Female,Single,1
F-1,North America,61,Bachelor,Athlete,3062.2631037770516,Yes,No,Once,Medium,Clean,No,No,Guatemala,1,Male,Married,0
